id,created_at,id_str,text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,possibly_sensitive_appealable,lang,extended_entities,retweeted_status,quoted_status_id,quoted_status_id_str,quoted_status
892177421306343426,Tue Aug 01 00:17:27 +0000 2017,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boop… https://t.co/aQFSeaCu9L",True,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,5550,30642,False,False,False,False,en,,,,,
891689557279858688,Sun Jul 30 15:58:51 +0000 2017,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,7655,38709,False,False,False,False,en,,,,,
891087950875897856,Sat Jul 29 00:08:17 +0000 2017,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG:… https://t.co/xx5cilW0Dd,True,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,2763,18629,False,False,False,False,en,,,,,
890729181411237888,Fri Jul 28 00:22:40 +0000 2017,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13… https://t.co/hrcFOGi12V,True,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,16747,59656,False,False,False,False,en,,,,,
890240255349198849,Wed Jul 26 15:59:51 +0000 2017,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant… https://t.co/l3TSS3o2M0,True,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,6499,29276,False,False,False,False,en,,,,,
889880896479866881,Tue Jul 25 16:11:53 +0000 2017,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,4418,25675,False,False,False,False,en,,,,,
889638837579907072,Tue Jul 25 00:10:02 +0000 2017,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,3970,24810,False,False,False,False,en,,,,,
889278841981685760,Mon Jul 24 00:19:32 +0000 2017,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*cki… https://t.co/qw5xRwBaIv,True,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,4725,23152,False,False,False,False,en,,,,,
888804989199671297,Sat Jul 22 16:56:37 +0000 2017,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 wou… https://t.co/L5cCoR2huQ,True,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,3749,23491,False,False,False,False,en,,,,,
888078434458587136,Thu Jul 20 16:49:33 +0000 2017,888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want th… https://t.co/UibDBnVpvR,True,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,WeRateDogs®,,,,,False,3075,20007,False,False,False,False,en,,,,,
